timestamp,modality,modality_name,trial_type,trial_direction,time_to_target_s,target_distance_m,max_force_N,total_force_Ns,total_distance_traveled_m,distance_from_target_m,target_x,target_y,final_x,final_y,qualitative_score,sit_to_stand_mode
2026-03-09T21:14:18.077260,2,Touch,cardinal,north,6.88,0.1500,28.14,184.3425,0.1548,0.0413,0.0,0.15,-0.03412128110464435,0.1267301502566675,,False
2026-03-09T21:15:25.766614,2,Touch,cardinal,north,3.47,0.1500,0.00,0.0000,0.0251,0.1500,0.0,0.15,7.672776575762263e-07,-8.81829468180051e-06,,False
2026-03-09T21:17:05.182583,2,Touch,cardinal,south,6.35,0.1500,33.02,199.7223,0.1731,0.0186,0.0,-0.15,-0.014807477255280088,-0.16122713535782424,,False
2026-03-09T21:27:01.030453,2,Touch,cardinal,south,7.20,0.1500,34.71,205.8341,0.1866,0.0153,0.0,-0.15,0.011319176021023725,-0.1602645404650171,,False
2026-03-09T21:28:39.424806,2,Touch,cardinal,south,5.31,0.1500,40.33,187.6080,0.1886,0.0289,0.0,-0.15,0.0016395103482227391,-0.1788441169810989,,False
2026-03-09T21:30:13.393640,2,Touch,cardinal,south,16.54,0.1500,32.97,272.6244,0.2561,0.0213,0.0,-0.15,-0.0145609419743008,-0.1655316125403435,,False
2026-03-09T21:30:59.277464,2,Touch,cardinal,south,9.01,0.1500,31.21,239.3112,0.2021,0.0169,0.0,-0.15,0.00017150825236161849,-0.16685178558495614,,False
2026-03-09T21:37:21.614228,3,Touch + LED ring,cardinal,south,6.48,0.1500,33.47,179.6828,0.1634,0.0033,0.0,-0.15,-0.003042160704221364,-0.14879330894400178,,False
2026-03-09T21:38:15.233660,3,Touch + LED ring,cardinal,south,6.72,0.1500,36.95,199.1866,0.1900,0.0257,0.0,-0.15,-0.01056393994220195,-0.1733873983182778,,False
2026-03-09T21:39:02.447130,3,Touch + LED ring,cardinal,south,6.22,0.1500,31.89,185.0283,0.1563,0.0104,0.0,-0.15,-0.00331551933062485,-0.14018236574414572,,False
