timestamp,modality,modality_name,trial_type,trial_direction,time_to_target_s,target_distance_m,max_force_N,total_force_Ns,total_distance_traveled_m,distance_from_target_m,target_x,target_y,final_x,final_y,qualitative_score,sit_to_stand_mode
2026-03-11T13:44:17.482929,2,Touch,cardinal,south,7.64,0.1500,41.84,320.7812,0.2074,0.0178,0.0,-0.15,0.014409138912328479,-0.13956304789600726,,False
2026-03-11T13:45:43.928371,2,Touch,cardinal,south,6.15,0.1500,45.17,324.2552,0.1966,0.0196,0.0,-0.15,0.008880201624375028,-0.1325513773166102,,False
2026-03-11T13:46:32.910110,2,Touch,cardinal,south,6.59,0.1500,45.26,363.9510,0.2151,0.0193,0.0,-0.15,0.00897969907284435,-0.16703819344183457,,False
2026-03-11T13:49:12.233746,3,Touch + LED ring,cardinal,south,5.65,0.1500,43.37,246.4963,0.1639,0.0408,0.0,-0.15,-0.007429350930090284,-0.10991137078155852,,False
2026-03-11T13:50:07.192537,3,Touch + LED ring,cardinal,south,6.45,0.1500,48.51,361.5757,0.2076,0.0231,0.0,-0.15,0.021597293544630525,-0.15825129811987468,,False
2026-03-11T13:51:01.435845,3,Touch + LED ring,cardinal,south,5.85,0.1500,43.13,297.3132,0.1854,0.0199,0.0,-0.15,-0.011802578262029406,-0.1339308501561932,,False
2026-03-11T13:53:57.969035,4,Touch + voice,cardinal,south,8.85,0.1500,43.34,226.4559,0.1972,0.0553,0.0,-0.15,0.028102284602177507,-0.10239594803910632,,False
2026-03-11T13:54:19.411012,4,Touch + voice,cardinal,south,5.36,0.1500,36.62,168.5296,0.1684,0.0221,0.0,-0.15,0.0034681242267905477,-0.12819552721921892,,False
2026-03-11T13:55:08.295988,4,Touch + voice,cardinal,south,7.08,0.1500,40.56,246.4546,0.1974,0.0511,0.0,-0.15,0.015379690826439418,-0.10123808717006696,,False
2026-03-11T13:55:33.686956,4,Touch + voice,cardinal,south,9.50,0.1500,53.92,321.4284,0.3294,0.1089,0.0,-0.15,0.10468431660181104,-0.11984771974496189,,False
2026-03-11T13:55:56.566843,4,Touch + voice,cardinal,south,7.45,0.1500,33.25,216.3286,0.2088,0.0383,0.0,-0.15,0.02098845525491011,-0.11801479445031446,,False
2026-03-11T13:56:40.575521,4,Touch + voice,cardinal,south,7.37,0.1500,36.76,246.0572,0.1983,0.0362,0.0,-0.15,-0.033297057521496365,-0.13567688433794156,,False
2026-03-11T13:57:20.950282,4,Touch + voice,cardinal,south,8.17,0.1500,51.60,319.3655,0.2302,0.0217,0.0,-0.15,0.0138077482088238,-0.1667701531170005,,False
2026-03-11T13:57:50.954088,4,Touch + voice,cardinal,south,6.38,0.1500,38.54,299.7226,0.2180,0.0128,0.0,-0.15,0.01278680224948553,-0.14885804533573158,,False
2026-03-11T13:58:35.781634,4,Touch + voice,cardinal,south,6.11,0.1500,42.13,138.1695,0.1692,0.0223,0.0,-0.15,-0.0017683812158340029,-0.12780660290493437,,False
